Documento;ID Sección;Título de Sección;Texto Borrador MVP (Editable);Guía Regulatoria (Panamá);Implementación UI/UX;Estado
1. Política de Privacidad;1.1;Responsable del Tratamiento y Base Legal;La plataforma digital [NOMBRE_FINTECH] es operada de forma experimental por [RAZON_SOCIAL/EQUIPO]. En cumplimiento con la Ley 81 de 2019 de la República de Panamá, le informamos que el tratamiento de sus datos personales se regirá estrictamente bajo su consentimiento explícito para los fines del plan piloto.;Requisito obligatorio de la Ley 81 de 2019. Se debe identificar claramente quién custodia la base de datos.;Enlace embebido en el modal de registro inicial.;No Iniciado
1. Política de Privacidad;1.2;Datos Recopilados (Enfoque KYC);Para validar su acceso al piloto, recopilaremos: a) Nombre completo, b) Número de Cédula de Identidad Personal o Pasaporte, c) Correo electrónico, d) Datos biométricos faciales (Selfie) únicamente para autenticación y prevención de suplantación de identidad.;El tratamiento de datos biométricos y de identificación personal en Panamá requiere consentimiento reforzado según ANTAI.;Pantalla de Onboarding durante la captura de la foto de la cédula y selfie.;No Iniciado
1. Política de Privacidad;1.3;Derechos ARCO y Eliminación de Datos;Como usuario beta, usted tiene derecho a Acceder, Rectificar, Cancelar u Oponerse al uso de sus datos. Envíe una solicitud a [CORREO_SOPORTE] y eliminaremos de forma segura todos sus registros biométricos y transaccionales en un plazo máximo de [NUM_DIAS_ELIMINACION] días hábiles.;Garantiza el cumplimiento de los Derechos ARCO fiscalizados por la ANTAI.;Sección 'Privacidad' dentro de la Configuración del Perfil en la App.;No Iniciado
2. Términos y Condiciones de Uso;2.1;Declaración de Sandbox / Exención de Responsabilidad;IMPORTANTE: [NOMBRE_FINTECH] es un piloto tecnológico en fase MVP y no cuenta con una licencia bancaria de la SBP. Este entorno opera como un Sandbox simulado o circuito cerrado. El usuario acepta utilizar la plataforma bajo su propio riesgo de software ('as-is') y se compromete a no usar fondos reales indispensables.;Protección crucial ante la SBP y ACODECO (Ley 45 de 2007) para evitar que el piloto sea calificado como captación ilegal no autorizada.;Pop-up de advertencia en pantalla completa ('Disclaimer') que requiere deslizamiento obligatorio y aceptación táctil al primer inicio.;No Iniciado
2. Términos y Condiciones de Uso;2.2;Límites Transaccionales del Piloto;Para mitigar riesgos operativos durante el challenge, se imponen los siguientes límites inamovibles: Saldo máximo en cuenta: $[LIMITE_SALDO_USD] USD. Límite de transferencia individual: $[LIMITE_TX_USD] USD. Toda transacción que exceda estos montos será bloqueada automáticamente por el sistema.;Mitiga la responsabilidad financiera y el perfil de riesgo AML/CFT ante reguladores indirectos.;Mensaje de validación interactivo en tiempo real al ingresar un monto de transferencia.;No Iniciado
2. Términos y Condiciones de Uso;2.3;Jurisdicción y Ley Aplicable;Cualquier controversia relacionada con el uso de este piloto se someterá y resolverá bajo las leyes de la República de Panamá y la jurisdicción exclusiva de las autoridades judiciales y administrativas de la Ciudad de Panamá.;Establece la competencia local estándar para evitar litigios transfronterizos complejos.;Sección final del contrato digital de T&C.;No Iniciado
3. FAQ: Transacciones y Límites;3.1;Límites de Cuentas Simplificadas;żCuáles son los límites de mi cuenta durante este piloto? Al operar bajo un modelo de 'Debida Diligencia Simplificada' en Panamá, el saldo total máximo permitido es de $[LIMITE_MISMOS_USD] USD mensuales, alineado con las mejores prácticas de la SBP para cuentas simplificadas.;Alineado conceptualmente con los Acuerdos de la SBP sobre cuentas de trámite fácil.;Sección de ayuda visual en forma de acordeón dinámico en la App.;No Iniciado
3. FAQ: Transacciones y Límites;3.2;Tiempo de Procesamiento (ACH Xpress);żCuánto tardan en llegar mis transferencias? Dentro de este piloto, simulamos el sistema ACH Xpress de Telered en Panamá. Por lo tanto, tus transferencias entre cuentas del piloto se verán reflejadas de manera INMEDIATA y gratuita las 24 horas del día, los 7 días de la semana.;Educa al usuario sobre las capacidades del sistema de pagos electrónicos nacional panameńo.;Tooltip de información ('i') junto al botón de 'Enviar dinero'.;No Iniciado
4. Política de Seguridad y Fraude;4.1;Autenticación Biométrica y Doble Factor (2FA);Para proteger el acceso a tus fondos beta, exigimos el uso obligatorio de biometría móvil (Face ID, Touch ID o huella dactilar) o en su defecto un código PIN de seguridad de [NUM_DIGITOS_PIN] dígitos para validar cualquier salida de dinero.;Alineado con el Acuerdo 007-2018 de la SBP de gestión de riesgos tecnológicos financieros.;Configuración rápida de seguridad habilitada por defecto en el primer ingreso.;No Iniciado
4. Política de Seguridad y Fraude;4.2;Protocolo Anti-Phishing en Panamá;REGLA CRÍTICA: [NOMBRE_FINTECH] nunca le solicitará contraseńas, PINs de seguridad ni códigos OTP por llamada telefónica, mensajes de WhatsApp ni correos electrónicos. Cualquier comunicación que solicite estos datos debe reportarse inmediatamente como fraude.;Mitiga la responsabilidad de la Fintech ante ingeniería social y phishing, protegiendo al usuario bajo la Ley de Delitos Informáticos en Panamá.;Pantalla de carga (Splash Screen) con consejos de ciberseguridad rotativos.;No Iniciado
5. Tarifas y Comisiones;5.1;Transparencia de Costos (Costo Cero MVP);Durante toda la duración del plan piloto y el challenge, el uso de [NOMBRE_FINTECH] tiene un costo total de $0.00 USD. No se aplicarán cargos por apertura, manejo de cuenta, transferencias ni consultas.;Evita reclamos ante ACODECO sobre cobros sorpresa no contratados.;Etiqueta destacada de 'Beta - Gratis' en la sección de perfil.;No Iniciado
5. Tarifas y Comisiones;5.2;Tarifario Proyectado (Post-Piloto);"[PARA EFECTOS DEL PITCH DE NEGOCIO] Se proyectan los siguientes costos para el despliegue comercial real: Apertura de cuenta: $0.00 USD; Transferencia saliente ACH regular: $[ACH_REG_USD] USD; Comisión de comercio por pago QR: [PORCENTAJE_QR]%; Reposición de plástico físico: $[REPOSICION_USD] USD + ITBMS (7%).";Demuestra viabilidad comercial ante jurados e inversores incluyendo el cálculo correcto del ITBMS en Panamá (7%).;Anexo descargable o pestańa secundaria 'Futuro Comercial' en el pitch deck.;No Iniciado
